Beast,CR,CR#,Basic Familiar,Beast Companion,Size,XP,AC,HP,Speed,Fly,Swim,Skills,Senses,Ability1,Ability2,Ability3,Ability4,Multiattack,Attack1,Attack2,Combat Notes,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Environment,Alignment,Language,SourceMaterial,MM Description
Allosaurus,2,2,FALSE,FALSE,Large,450,15,51 (6d10+18),60 ft.,FALSE,FALSE,Perception +5,Passive Perception 15,"Pounce. If the allosaurus moves at least 30 ft. straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the allosaurus can make one bite attack against it as a bonus action.",none,none,none,none,"Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 15 (2d10 + 4) piercing damage.","Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage.",prone,19 (+4),13 (+1),17 (+3),2 (-4),12 (+1),5 (-3),,Grassland,Unaligned,none,Monster Manual,"A flying snake is a brightly colored, winged serpent found in remote jungles. Tribespeople and cultists sometimes domesticate flying snakes to serve as messengers that deliver scrolls wrapped in their coils."
Ankylosaurus,3,3,FALSE,FALSE,Huge,700,15,68 (8d12+16),30 ft.,FALSE,FALSE,none,Passive Perception 10,none,none,none,none,none,"Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 18 (4d6 + 4) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.",none,prone,19 (+4),11 (0),15 (+2),2 (-4),12 (+1),5 (-3),,Grassland,Unaligned,none,Monster Manual,"A giant fire beetle is a nocturnal creature that takes its name from a pair of glowing glands that give off light. Miners and adventurers prize these creatures, for a giant fire beetle's glands continue to shed light for 1d6 days after the beetle dies. Giant fire beetles are most commonly found underground and in Dark forests."
Ape,1/2nd,0.5,FALSE,FALSE,Medium,100,12,19 (3d8 + 6),"30 ft., climb 30 ft.",FALSE,FALSE,"Athletics +5, Perception +3",Passive Perception 13,none,none,none,none,Multiattack. The ape makes two fist attacks.,"Fist. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage.","Rock. Ranged Weapon Attack: +5 to hit, range 25/50 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage.",none,16 (+3),14 (+2),14 (+2),6 (-2),12 (+1),7 (-2),,Forest,Unaligned,none,Monster Manual,"A giant lizard can be ridden or used as a draft animal. Lizardfolk also keep them as pets, and subterranean giant lizards are used as mounts and pack animals by drow, duergar, and others."
Aurochs,2,2,FALSE,FALSE,Large,450,11,38 (4d10+16),50 ft.,FALSE,FALSE,none,Passive Perception 10,"Charge. If the aurochs moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) piercing damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone.",none,none,none,none,"Gore. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8+5) piercing damage.",none,prone,20 (+5),10 (0),19 (+4),2 (-4),12 (+1),5 (-3),,"Hill,Mountain",Unaligned,none,Volo's Guide,"A giant shark is 30 feet long and normally found in deep oceans. Utterly fearless, it preys on anything that crosses its path, including whales and ships."
Axe Beak,1/4th,0.25,FALSE,TRUE,Large,50,11,19 (3d10 + 3),50 ft.,FALSE,FALSE,none,Passive Perception 10,none,none,none,none,none,"Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.",none,none,14 (+2),12 (+1),12 (+1),2 (?4),10 (+0),5 (?3),,"Grassland,Hill",Unaligned,none,Monster Manual,"A giant vulture has advanced intelligence and a malevolent bent. Unlike its smaller kin, it will attack a wounded creature to hasten its end. Giant vultures have been known to haunt a thirsty, starving creature for days to enjoy its suffering."
Baboon,0,0,FALSE,TRUE,Small,10,12,3 (1d6),"30 ft., climb 30 ft.",FALSE,FALSE,none,Passive Perception 11,Pack Tactics. The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 feet of the creature and the ally isn't incapacitated.,none,none,none,none,"Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 ? 1) piercing damage.",none,none,8 (?1),14 (+2),11 (+0),4 (?3),12 (+1),6 (?2),,"Forest,Hill",Unaligned,none,Monster Manual,"A mammoth is an elephantine creature with thick fur and long tusks. Stockier and fiercer than normal elephants, mammoths inhabit a wide range of climes, from subarctic to subtropical."
Badger,0,0,FALSE,TRUE,Tiny,10,10,3 (1d4 + 1),"20 ft., burrow 5 ft.",FALSE,FALSE,none,"Darkvision 30 ft., Passive Perception 11-16",Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell.,none,none,none,none,"Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",none,none,4 (?3),11 (+0),12 (+1),2 (?4),12 (+1),5 (?3),,Forest,Unaligned,none,Monster Manual,"A quipper is a carnivorous fish with sharp teeth. Quippers can adapt to any aquatic environment, including cold subterranean lakes. They frequently gather in swarms; the statistics for a swarm of quippers appear later in this appendix."
Bat,0,0,TRUE,TRUE,Tiny,10,12,1 (1d4 ? 1),"5 ft., fly 30 ft.",TRUE,FALSE,none,"Blindsight 60 ft., Passive Perception 11-16",Echolocation. The bat can't use its blindsight while deafened.,Keen Hearing. The bat has advantage on Wisdom (Perception) checks that rely on hearing.,none,none,none,"Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one creature. Hit: 1 piercing damage.",none,none,2 (?4),15 (+2),8 (?1),2 (?4),12 (+1),4 (?3),,"Forest,Mountain,UnderDark",Unaligned,none,Monster Manual,"An axe beak is a tall flightless bird with strong legs and a heavy, wedge-shaped beak. It has a nasty disposition and tends to attack any unfamiliar creature that wanders too close."
Black Bear,1/2nd,0.5,FALSE,FALSE,Medium,100,11,19 (3d8 + 6),"40 ft., climb 30 ft.",FALSE,FALSE,Perception +3,Passive Perception 13-18,Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell.,none,none,none,Multiattack. The bear makes two attacks: one with its bite and one with its claws.,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.",none,15 (+2),10 (+0),14 (+2),2 (?4),12 (+1),7 (?2),,Forest,Unaligned,none,Monster Manual,Giant owls often befriend fey and other sylvan creatures and are guardians of their woodland realms.
Blood Hawk,1/8th,0.125,FALSE,TRUE,Small,25,12,7 (2d6),"10 ft., fly 60 ft.",TRUE,FALSE,Perception +4,Passive Perception 14-19,Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight.,Pack Tactics. The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 feet of the creature and the ally isn't incapacitated.,none,none,none,"Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",none,none,6 (?2),14 (+2),10 (+0),3 (?4),14 (+2),5 (?3),,"Arctic,Coast,Forest,Grassland,Hill,Mountain",Unaligned,none,Monster Manual,"Like their smaller kin, giant sea horses are shy, colorful fish with elongated bodies and curled tails. Aquatic elves train them as mounts."
